h;V;C;L*;a*;b*;R;G;B
2.5RP;5;14;51.58;57;-18.79;0.7849;0.2893;0.6128
2.5RP;5;16;51.58;64.48;-21.43;0.8202;0.2414;0.6313
2.5RP;5;18;51.58;72.21;-24.2;0.856;0.1733;0.6505
2.5RP;5;20;51.58;79.99;-27.08;0.8915;0.0262;0.6707
5RP;5;2;51.58;7.95;-0.66;0.5355;0.4637;0.4867
5RP;5;4;51.58;16.72;-1.52;0.5902;0.4411;0.4937
5RP;5;6;51.58;25.61;-2.49;0.6427;0.4151;0.5012
5RP;5;8;51.58;34.7;-3.53;0.6939;0.3844;0.5095
5RP;5;10;51.58;42.59;-4.63;0.7362;0.3536;0.518
5RP;5;12;51.58;51.33;-5.91;0.7818;0.313;0.5277
5RP;5;14;51.58;59.16;-7.2;0.8216;0.2681;0.5373
5RP;5;16;51.58;67.31;-8.61;0.8622;0.2063;0.5479
5RP;5;18;51.58;75.11;-9.98;0.9005;0.1105;0.5581
7.5RP;5;2;51.58;8.1;0.54;0.54;0.463;0.4789
7.5RP;5;4;51.58;17.08;1.18;0.5996;0.4392;0.4758
7.5RP;5;6;51.58;26.07;1.56;0.6548;0.4122;0.4747
7.5RP;5;8;51.58;35.14;1.76;0.7074;0.3808;0.4749
7.5RP;5;10;51.58;43.05;1.85;0.7515;0.3488;0.4756
7.5RP;5;12;51.58;52.34;1.69;0.8014;0.3037;0.4784
7.5RP;5;14;51.58;59.81;1.46;0.8402;0.2583;0.4812
7.5RP;5;16;51.58;68.23;1.06;0.8832;0.1888;0.4854
7.5RP;5;18;51.58;76.15;0.54;0.9225;0.0674;0.4904
10RP;6;2;61.7;7.59;1.7;0.6447;0.5657;0.5729
10RP;6;4;61.7;16.01;3.66;0.7069;0.5429;0.5608
10RP;6;6;61.7;25.07;5.68;0.7689;0.5157;0.5485
10RP;6;8;61.7;32.5;7.28;0.8172;0.4908;0.5388
10RP;6;10;61.7;41.26;9.04;0.8714;0.4579;0.5285
10RP;6;12;61.7;49.79;10.62;0.922;0.421;0.5194
10RP;6;14;61.7;57.84;11.99;0.968;0.3805;0.512
10RP;6;16;61.7;67.55;13.61;1;0.3201;0.5033
10RP;6;18;61.7;75.53;14.76;1;0.2547;0.4976
2.5R;6;2;61.7;7.59;2.69;0.6475;0.5655;0.5662
2.5R;6;4;61.7;16.05;5.77;0.7123;0.5423;0.5463
2.5R;6;6;61.7;24.74;9.21;0.7746;0.5157;0.5243
2.5R;6;8;61.7;32.43;12.13;0.8261;0.4895;0.5058
2.5R;6;10;61.7;40.99;15.23;0.8804;0.4569;0.4864
2.5R;6;12;61.7;49.56;18.16;0.932;0.4195;0.4685
2.5R;6;14;61.7;57.42;20.71;0.9779;0.3793;0.4531
2.5R;6;16;61.7;66.73;23.45;1;0.3213;0.437
2.5R;6;18;61.7;75.05;25.97;1;0.2527;0.4225
5R;6;2;61.7;7.59;3.63;0.6502;0.5652;0.5597
5R;6;4;61.7;15.95;8.12;0.7173;0.5419;0.5302
5R;6;6;61.7;24.28;12.77;0.779;0.5161;0.4999
5R;6;8;61.7;31.96;16.88;0.8317;0.4898;0.4733
5R;6;10;61.7;40.36;21.49;0.8863;0.4575;0.4436
5R;6;12;61.7;48.66;25.85;0.9374;0.4212;0.4158
5R;6;14;61.7;56.4;30.08;0.9834;0.3817;0.389
5R;6;16;61.7;64.85;34.74;1;0.33;0.3596
5R;6;18;61.7;72.94;39.23;1;0.2665;0.3317
7.5R;6;2;61.7;7.52;5.1;0.6539;0.5649;0.5496
7.5R;6;4;61.7;15.46;10.82;0.7205;0.5425;0.5116
7.5R;6;6;61.7;23.19;16.47;0.7794;0.5185;0.4743
7.5R;6;8;61.7;30.88;22.52;0.8344;0.4921;0.4343
7.5R;6;10;61.7;39.09;29.08;0.8893;0.4606;0.3909
7.5R;6;12;61.7;46.51;35.41;0.9365;0.4284;0.3488
7.5R;6;14;61.7;54.02;42.14;0.9823;0.3911;0.3034
7.5R;6;16;61.7;61.58;49.28;1;0.347;0.2541
7.5R;6;18;61.7;68.83;56.49;1;0.2954;0.2015
10R;6;2;61.7;7.34;6.6;0.6567;0.565;0.5393
10R;6;4;61.7;14.7;14.2;0.723;0.5437;0.4882
10R;6;6;61.7;21.56;21.52;0.7787;0.5222;0.4391
10R;6;8;61.7;28.64;29.25;0.8313;0.498;0.3869
10R;6;10;61.7;35.9;38.02;0.882;0.4708;0.3265
10R;6;12;61.7;42.7;47.04;0.9269;0.4423;0.2621
10R;6;14;61.7;49.3;56.75;0.9681;0.4117;0.1856
10R;6;16;61.7;55;67.05;1;0.3816;0.0775
2.5YR;6;2;61.7;6.69;8.42;0.6572;0.5661;0.5267
2.5YR;6;4;61.7;12.95;16.94;0.7176;0.5478;0.469
2.5YR;6;6;61.7;19.5;26.07;0.7739;0.5272;0.4069
2.5YR;6;8;61.7;25.66;35.09;0.8219;0.5066;0.3444
2.5YR;6;10;61.7;31.71;45.28;0.8662;0.4846;0.2707
2.5YR;6;12;61.7;37.01;56.19;0.9033;0.4636;0.1826
2.5YR;6;14;61.7;41.45;67.66;0.9332;0.4447;0.0395
5YR;6;2;61.7;5.63;10.02;0.654;0.5684;0.5155
5YR;6;4;61.7;10.79;19.9;0.7099;0.5528;0.448
5YR;6;6;61.7;16.08;30.81;0.7608;0.5361;0.3725
5YR;6;8;61.7;21.15;41.61;0.804;0.5194;0.2948
5YR;6;10;61.7;25.76;52.76;0.84;0.5034;0.2067
5YR;6;12;61.7;29.51;64.33;0.8683;0.4897;0.0817
7.5YR;6;2;61.7;4.45;11.4;0.6496;0.5709;0.5058
7.5YR;6;4;61.7;8.57;22.43;0.7009;0.558;0.43
7.5YR;6;6;61.7;12.6;34.33;0.7451;0.5451;0.3462
7.5YR;6;8;61.7;16.39;46.38;0.7819;0.5326;0.2558
7.5YR;6;10;61.7;19.6;58.9;0.8107;0.5218;0.1428
10YR;6;2;61.7;2.55;13;0.6407;0.5751;0.4944
10YR;6;4;61.7;5.07;25.32;0.6841;0.5662;0.409
10YR;6;6;61.7;8.07;38.34;0.7233;0.5564;0.3152
10YR;6;8;61.7;10.58;51.24;0.753;0.548;0.2124
10YR;6;10;61.7;12.84;64.05;0.7762;0.5406;0.063
2.5Y;6;2;61.7;0.37;14.27;0.6289;0.5799;0.4852
2.5Y;6;4;61.7;1.51;27.46;0.6651;0.5745;0.3929
2.5Y;6;6;61.7;3;41.5;0.6968;0.5685;0.2896
2.5Y;6;8;61.7;4.71;55.16;0.7222;0.5626;0.1723
5Y;6;2;61.7;-1.6;14.95;0.6167;0.5843;0.4802
5Y;6;4;61.7;-2.33;28.92;0.6426;0.5831;0.3817
5Y;6;6;61.7;-2.07;43.7;0.668;0.5802;0.2706
5Y;6;8;61.7;-1.72;58.02;0.686;0.5778;0.1369
7.5Y;6;2;61.7;-3.1;15.11;0.6067;0.5876;0.4788
7.5Y;6;4;61.7;-5.13;29.35;0.6247;0.5893;0.3779
7.5Y;6;6;61.7;-6.62;44.62;0.6401;0.5903;0.2614
7.5Y;6;8;61.7;-7.45;59.42;0.6516;0.5905;0.1151
10Y;6;2;61.7;-4.46;14.92;0.5963;0.5907;0.48
10Y;6;4;61.7;-7.89;29.02;0.6054;0.5953;0.3796
10Y;6;6;61.7;-10.61;44.06;0.613;0.5989;0.2647
10Y;6;8;61.7;-12.65;59.22;0.6183;0.6014;0.1137
2.5GY;6;2;61.7;-6.19;14.08;0.5816;0.5947;0.4855
2.5GY;6;4;61.7;-11.22;27.52;0.5787;0.6026;0.3897
2.5GY;6;6;61.7;-15.5;41.56;0.5755;0.6091;0.2833
2.5GY;6;8;61.7;-19.3;56.64;0.5707;0.6149;0.1418
5GY;6;2;61.7;-7.49;13.02;0.5687;0.5978;0.4927
5GY;6;4;61.7;-13.8;25.2;0.5543;0.6083;0.4058
5GY;6;6;61.7;-19.81;37.75;0.5375;0.618;0.3119
5GY;6;8;61.7;-25.43;51.41;0.519;0.6268;0.1944
7.5GY;6;2;61.7;-9.4;10.79;0.5473;0.6023;0.5078
7.5GY;6;4;61.7;-17.39;20.62;0.5144;0.6162;0.4377
7.5GY;6;6;61.7;-25.12;30.81;0.4796;0.6288;0.3629
7.5GY;6;8;61.7;-33.13;42.12;0.439;0.6411;0.2738
7.5GY;6;10;61.7;-40.35;53.24;0.397;0.6515;0.1689
10GY;6;2;61.7;-10.53;8.46;0.5307;0.6052;0.5237
10GY;6;4;61.7;-19.64;16.33;0.4822;0.6214;0.4676
10GY;6;6;61.7;-28.67;24.39;0.4289;0.6361;0.409
10GY;6;8;61.7;-37.97;32.76;0.365;0.6501;0.3456
10GY;6;10;61.7;-46.82;40.8;0.2898;0.6625;0.281
10GY;6;12;61.7;-55.86;49.15;0.1806;0.6741;0.2049
2.5G;6;2;61.7;-11.26;6.14;0.5164;0.6073;0.5397
2.5G;6;4;61.7;-21.49;11.42;0.4472;0.6259;0.5016
2.5G;6;6;61.7;-31.32;16.6;0.3706;0.6421;0.4639
2.5G;6;8;61.7;-41.29;21.47;0.2704;0.6571;0.4278
2.5G;6;10;61.7;-51.5;26.24;0.0796;0.6711;0.3917
5G;6;2;61.7;-11.34;4.18;0.5083;0.608;0.5533
5G;6;4;61.7;-22.18;7.88;0.4254;0.628;0.5261
5G;6;6;61.7;-32.1;11.09;0.3323;0.6446;0.5026
5G;6;8;61.7;-42.13;13.81;0.1939;0.6598;0.4821
7.5G;6;2;61.7;-11.22;2.88;0.5043;0.608;0.5623
7.5G;6;4;61.7;-22.27;5.44;0.4127;0.6287;0.5431
7.5G;6;6;61.7;-32.01;7.27;0.3096;0.6452;0.5292
7.5G;6;8;61.7;-41.98;9.08;0.1362;0.6606;0.5153
10G;6;2;61.7;-10.94;1.51;0.501;0.6079;0.5717
10G;6;4;61.7;-22.1;2.86;0.4014;0.629;0.5609
10G;6;6;61.7;-31.55;3.82;0.291;0.6453;0.5533
10G;6;8;61.7;-41.63;4.7;0.0431;0.6611;0.5459
2.5BG;6;2;61.7;-10.82;0.31;0.4973;0.6079;0.58
2.5BG;6;4;61.7;-21.62;0.54;0.3936;0.6288;0.5771
2.5BG;6;6;61.7;-30.95;0.48;0.2728;0.6451;0.5764
5BG;6;2;61.7;-10.29;-1.28;0.4949;0.6073;0.591
5BG;6;4;61.7;-20.37;-2.73;0.3885;0.6273;0.5998
5BG;6;6;61.7;-29.62;-4.3;0.2486;0.6442;0.6097
7.5BG;6;2;61.7;-9.57;-2.76;0.4948;0.6062;0.6013
7.5BG;6;4;61.7;-19.08;-5.57;0.3853;0.6258;0.6196
7.5BG;6;6;61.7;-27.76;-8.32;0.2386;0.6422;0.6376
10BG;6;2;61.7;-8.64;-3.93;0.4976;0.6046;0.6095
10BG;6;4;61.7;-17.05;-8.23;0.3912;0.6227;0.6382
10BG;6;6;61.7;-25.26;-12.5;0.2369;0.639;0.6668
2.5B;6;2;61.7;-7.49;-4.86;0.5035;0.6025;0.6161
2.5B;6;4;61.7;-14.92;-10.17;0.4029;0.6192;0.6517
2.5B;6;6;61.7;-22.18;-15.89;0.2528;0.6347;0.6906
5B;6;2;61.7;-6.03;-5.68;0.5127;0.5996;0.6219
5B;6;4;61.7;-12.03;-11.97;0.4224;0.6141;0.6646
5B;6;6;61.7;-17.77;-18.9;0.2943;0.6276;0.7119
7.5B;6;2;61.7;-4.62;-6.24;0.5222;0.5967;0.6259
7.5B;6;4;61.7;-8.96;-13.3;0.4463;0.6082;0.674
7.5B;6;6;61.7;-13.18;-20.93;0.342;0.6194;0.7263
7.5B;6;8;61.7;-16.71;-28.4;0.18;0.629;0.7779
10B;6;2;61.7;-3.07;-6.71;0.5334;0.5934;0.6294
10B;6;4;61.7;-5.95;-14.07;0.4716;0.6021;0.6797
10B;6;6;61.7;-8.72;-22.16;0.3888;0.6109;0.7353
10B;6;8;61.7;-10.94;-30.03;0.279;0.6184;0.7897
2.5PB;6;2;61.7;-1.26;-6.99;0.547;0.5896;0.6314
2.5PB;6;4;61.7;-2.6;-14.58;0.5002;0.595;0.6835
2.5PB;6;6;61.7;-3.61;-23.02;0.4401;0.6004;0.7417
2.5PB;6;8;61.7;-4;-31.18;0.3706;0.6045;0.7983
2.5PB;6;10;61.7;-4.42;-39.28;0.2695;0.609;0.8548
5PB;6;2;61.7;0.22;-7.04;0.5588;0.5862;0.632
5PB;6;4;61.7;0.49;-14.78;0.5267;0.5881;0.6852
5PB;6;6;61.7;1.2;-23.57;0.4851;0.5899;0.746
5PB;6;8;61.7;2.07;-31.66;0.439;0.5913;0.8022
5PB;6;10;61.7;2.74;-39.59;0.3782;0.5933;0.8576
5PB;6;12;61.7;3.82;-48.64;0.2819;0.5955;0.9212
5PB;6;14;61.7;5.41;-57.77;0.0918;0.5968;0.9859
7.5PB;6;2;61.7;1.99;-7.09;0.5728;0.5821;0.6325
7.5PB;6;4;61.7;4.15;-14.82;0.5575;0.5796;0.686
7.5PB;6;6;61.7;6.98;-23.28;0.5399;0.5761;0.7446
7.5PB;6;8;61.7;9.68;-30.74;0.5221;0.5726;0.7965
7.5PB;6;10;61.7;12.84;-38.44;0.5023;0.5682;0.8504
7.5PB;6;12;61.7;16.81;-47.4;0.4753;0.5627;0.9135
7.5PB;6;14;61.7;21.22;-56.29;0.4454;0.5559;0.9766
10PB;6;2;61.7;3.3;-6.76;0.5844;0.5789;0.6304
10PB;6;4;61.7;6.98;-14.24;0.5829;0.5726;0.6823
10PB;6;6;61.7;11.25;-22.11;0.5818;0.5649;0.7369
10PB;6;8;61.7;15.39;-29.15;0.5812;0.5571;0.786
10PB;6;10;61.7;20.14;-36.42;0.5819;0.5476;0.837
10PB;6;12;61.7;25.53;-44.36;0.5819;0.5364;0.8929
10PB;6;14;61.7;31.1;-52.03;0.5826;0.5239;0.9473
10PB;6;16;61.7;38.27;-60.84;0.587;0.5065;1
2.5P;6;2;61.7;4.41;-6.46;0.594;0.5761;0.6285
2.5P;6;4;61.7;9.18;-13.11;0.6049;0.5666;0.6747
2.5P;6;6;61.7;14.7;-20.44;0.6168;0.5552;0.7258
2.5P;6;8;61.7;20.18;-27.01;0.6301;0.5429;0.7718
2.5P;6;10;61.7;26.02;-33.63;0.6445;0.529;0.8181
2.5P;6;12;61.7;32.15;-39.97;0.6612;0.5132;0.8629
2.5P;6;14;61.7;38.54;-46.39;0.678;0.4955;0.9083
2.5P;6;16;61.7;45.98;-53.13;0.7004;0.4726;0.9563
2.5P;6;18;61.7;51.96;-58.89;0.7157;0.4528;0.9975
5P;6;2;61.7;5.41;-5.87;0.6037;0.5735;0.6246
5P;6;4;61.7;11.08;-11.77;0.6244;0.5613;0.6658
5P;6;6;61.7;17.46;-18.13;0.6471;0.5467;0.7102
5P;6;8;61.7;23.42;-23.88;0.6678;0.5321;0.7505
5P;6;10;61.7;29.89;-29.86;0.6905;0.515;0.7924
5P;6;12;61.7;36.27;-35.31;0.7135;0.4967;0.8308
5P;6;14;61.7;43.39;-41.26;0.7387;0.4744;0.873
5P;6;16;61.7;50.3;-46.99;0.7627;0.4505;0.9137
5P;6;18;61.7;57.12;-52.49;0.7861;0.4245;0.9529
5P;6;20;61.7;64.9;-58.54;0.8131;0.3906;0.9963
7.5P;6;2;61.7;6.5;-4.5;0.6169;0.5704;0.6153
7.5P;6;4;61.7;12.91;-9.02;0.6477;0.5555;0.6471
7.5P;6;6;61.7;20.41;-14.4;0.6822;0.5368;0.685
7.5P;6;8;61.7;27.22;-19.03;0.7131;0.5183;0.7176
7.5P;6;10;61.7;34.6;-24.12;0.7453;0.4965;0.7534
7.5P;6;12;61.7;41.48;-28.62;0.7755;0.474;0.7852
7.5P;6;14;61.7;48.69;-33.39;0.8061;0.448;0.819
7.5P;6;16;61.7;56.06;-38.13;0.8373;0.4181;0.8526
7.5P;6;18;61.7;63.09;-42.62;0.8666;0.3857;0.8845
7.5P;6;20;61.7;72.12;-48.29;0.9037;0.3365;0.925
7.5P;6;22;61.7;80.47;-53.53;0.9374;0.2788;0.9626
7.5P;6;24;61.7;88.28;-58.27;0.9691;0.2045;0.9967
10P;6;2;61.7;6.98;-3.34;0.6243;0.5688;0.6075
10P;6;4;61.7;14;-7;0.6623;0.5519;0.6334
10P;6;6;61.7;22.19;-10.96;0.7059;0.5303;0.6616
10P;6;8;61.7;29.41;-14.57;0.7426;0.5094;0.6872
10P;6;10;61.7;37.22;-18.43;0.7815;0.4844;0.7147
10P;6;12;61.7;44.63;-22.15;0.8173;0.4581;0.7411
10P;6;14;61.7;52.81;-26.25;0.856;0.4253;0.7703
10P;6;16;61.7;60.19;-30.02;0.89;0.3915;0.797
10P;6;18;61.7;67.39;-33.71;0.9227;0.3531;0.8234
10P;6;20;61.7;76.13;-38.13;0.962;0.2958;0.8549
10P;6;22;61.7;84.16;-42.18;0.9975;0.2252;0.8839
10P;6;24;61.7;91.81;-46.03;1;0.1123;0.9116
2.5RP;6;2;61.7;7.38;-2.04;0.6314;0.5675;0.5985
2.5RP;6;4;61.7;14.98;-4.29;0.6775;0.5484;0.6149
2.5RP;6;6;61.7;23.52;-6.88;0.7272;0.5247;0.6339
2.5RP;6;8;61.7;31.07;-9.24;0.7692;0.5017;0.651
2.5RP;6;10;61.7;38.78;-11.72;0.8107;0.4756;0.669
2.5RP;6;12;61.7;47.18;-14.52;0.8546;0.4436;0.6892
2.5RP;6;14;61.7;55.39;-17.19;0.8967;0.4076;0.7087
2.5RP;6;16;61.7;63.68;-19.97;0.9383;0.3649;0.7288
2.5RP;6;18;61.7;71.32;-22.64;0.9757;0.3174;0.7481
2.5RP;6;20;61.7;80.1;-25.74;1;0.246;0.7704
2.5RP;6;22;61.7;87.09;-28.25;1;0.1607;0.7886
5RP;6;2;61.7;7.56;-0.51;0.6376;0.5665;0.5881
5RP;6;4;61.7;15.6;-1.08;0.6914;0.5456;0.5931
5RP;6;6;61.7;24.61;-1.9;0.7478;0.5196;0.6001
5RP;6;8;61.7;32.5;-2.68;0.7951;0.4943;0.6066
5RP;6;10;61.7;40.21;-3.52;0.8396;0.4668;0.6135
5RP;6;12;61.7;48.84;-4.58;0.888;0.4316;0.622
5RP;6;14;61.7;57.53;-5.86;0.935;0.3905;0.6322
5RP;6;16;61.7;65.67;-7.07;0.9781;0.3442;0.6416
5RP;6;18;61.7;73.91;-8.38;1;0.2857;0.6519
5RP;6;20;61.7;83.7;-10.07;1;0.1834;0.665
5RP;6;22;61.7;90.29;-11.19;1;0.0149;0.6737
7.5RP;6;2;61.7;7.56;0.59;0.6409;0.5662;0.5806
7.5RP;6;4;61.7;15.84;1.27;0.6993;0.5442;0.5771
7.5RP;6;6;61.7;25.1;1.9;0.7603;0.5169;0.5743
7.5RP;6;8;61.7;32.56;2.33;0.8071;0.4923;0.5725
7.5RP;6;10;61.7;40.93;2.64;0.8572;0.4615;0.5718
7.5RP;6;12;61.7;49.5;2.71;0.9065;0.4255;0.5729
7.5RP;6;14;61.7;58.17;2.6;0.9546;0.3828;0.5752
7.5RP;6;16;61.7;67.26;2.42;1;0.3282;0.5782
7.5RP;6;18;61.7;75.07;2.09;1;0.2678;0.5819
7.5RP;6;20;61.7;84.33;1.67;1;0.1584;0.5867
10RP;7;2;71.6;6.95;1.66;0.7452;0.6703;0.676
10RP;7;4;71.6;15.17;3.62;0.8091;0.6479;0.6634
10RP;7;6;71.6;23.86;5.76;0.8725;0.622;0.6498
10RP;7;8;71.6;32.56;7.88;0.9323;0.5934;0.6364
10RP;7;10;71.6;40.84;9.71;0.9866;0.5632;0.6251
10RP;7;12;71.6;50.68;11.72;1;0.5228;0.613
10RP;7;14;71.6;59.54;13.48;1;0.4808;0.6026
10RP;7;16;71.6;68.44;15.14;1;0.4314;0.5931
2.5R;7;2;71.6;7.09;2.67;0.7493;0.6697;0.6689
2.5R;7;4;71.6;15.25;5.77;0.8155;0.647;0.6483
2.5R;7;6;71.6;23.7;9.14;0.8793;0.6215;0.6259
2.5R;7;8;71.6;32.31;12.49;0.9405;0.5928;0.604
2.5R;7;10;71.6;40.54;15.64;0.9958;0.5624;0.5835
2.5R;7;12;71.6;49.92;19.24;1;0.5235;0.5603
2.5R;7;14;71.6;58.76;22.19;1;0.4816;0.5418
2.5R;7;16;71.6;67.76;25.16;1;0.4315;0.5234
5R;7;2;71.6;7.15;3.57;0.7524;0.6693;0.6626
5R;7;4;71.6;15.14;8.06;0.8206;0.6467;0.6321
5R;7;6;71.6;23.35;12.56;0.8847;0.6215;0.6018
5R;7;8;71.6;31.85;17.15;0.9465;0.593;0.5711
5R;7;10;71.6;39.98;21.63;1;0.5627;0.5412
5R;7;12;71.6;49.01;26.47;1;0.5252;0.5092
5R;7;14;71.6;57.33;31.1;1;0.4858;0.4789
7.5R;7;2;71.6;7.06;4.86;0.7557;0.6691;0.6534
7.5R;7;4;71.6;14.89;10.71;0.8255;0.6467;0.6134
7.5R;7;6;71.6;22.5;16.61;0.8878;0.623;0.573
7.5R;7;8;71.6;30.91;23.16;0.9516;0.5944;0.5283
7.5R;7;10;71.6;38.37;29.15;1;0.5668;0.4874
7.5R;7;12;71.6;46.75;36.07;1;0.5322;0.4401
7.5R;7;14;71.6;54.32;42.98;1;0.4971;0.3923
7.5R;7;16;71.6;62.11;50.34;1;0.4561;0.3405
10R;7;2;71.6;6.72;6.18;0.7571;0.6697;0.6441
10R;7;4;71.6;13.98;13.89;0.827;0.6483;0.5907
10R;7;6;71.6;21.2;21.61;0.8894;0.6256;0.5373
10R;7;8;71.6;28.58;29.76;0.9481;0.6006;0.4806
10R;7;10;71.6;35.1;37.48;0.9968;0.5766;0.4263
10R;7;12;71.6;42.31;47.02;1;0.5478;0.3576
10R;7;14;71.6;49.17;56.63;1;0.5177;0.2845
10R;7;16;71.6;55.66;67.23;1;0.4862;0.1936
2.5YR;7;2;71.6;6.17;7.94;0.7582;0.6705;0.6315
2.5YR;7;4;71.6;12.51;16.86;0.824;0.6516;0.5693
2.5YR;7;6;71.6;19.02;26.24;0.8843;0.631;0.5036
2.5YR;7;8;71.6;25.07;35.38;0.9354;0.6106;0.4388
2.5YR;7;10;71.6;30.81;44.49;0.9804;0.5901;0.3725
2.5YR;7;12;71.6;36.81;55.92;1;0.5671;0.2842
2.5YR;7;14;71.6;42.07;68.28;1;0.5454;0.1707
5YR;7;2;71.6;5.3;9.83;0.7573;0.6722;0.618
5YR;7;4;71.6;10.31;20.01;0.8166;0.6566;0.5464
5YR;7;6;71.6;15.5;30.72;0.8701;0.6401;0.4704
5YR;7;8;71.6;20.23;40.95;0.9141;0.6244;0.396
5YR;7;10;71.6;24.83;52.11;0.9541;0.6084;0.3102
5YR;7;12;71.6;29.4;64.31;0.9906;0.5919;0.203
7.5YR;7;2;71.6;4.08;11.43;0.753;0.6748;0.6064
7.5YR;7;4;71.6;8.07;22.71;0.8075;0.6619;0.5266
7.5YR;7;6;71.6;11.89;34.46;0.8536;0.6493;0.442
7.5YR;7;8;71.6;15.45;45.94;0.8917;0.6374;0.356
7.5YR;7;10;71.6;18.78;57.99;0.9244;0.6261;0.257
7.5YR;7;12;71.6;21.95;71.15;0.9531;0.615;0.1117
10YR;7;2;71.6;2.17;13.14;0.7442;0.679;0.594
10YR;7;4;71.6;4.58;25.79;0.7906;0.6701;0.5037
10YR;7;6;71.6;7.06;38.41;0.8295;0.6613;0.4113
10YR;7;8;71.6;9.61;50.79;0.8621;0.6527;0.315
10YR;7;10;71.6;12.06;63.45;0.8897;0.6445;0.2002
2.5Y;7;2;71.6;0.01;14.52;0.7323;0.684;0.5838
2.5Y;7;4;71.6;1.29;27.75;0.7724;0.6779;0.4887
2.5Y;7;6;71.6;2.58;41.09;0.8049;0.6723;0.3896
2.5Y;7;8;71.6;3.79;54.35;0.8303;0.6673;0.2824
2.5Y;7;10;71.6;5.1;68.24;0.8518;0.6625;0.1369
5Y;7;2;71.6;-1.79;15.17;0.721;0.6881;0.5788
5Y;7;4;71.6;-2.94;29.36;0.7468;0.6876;0.476
5Y;7;6;71.6;-3.21;43.41;0.7706;0.6858;0.37
5Y;7;8;71.6;-2.91;57.09;0.791;0.6833;0.2547
5Y;7;10;71.6;-2.52;71.97;0.8078;0.6809;0.0582
7.5Y;7;2;71.6;-3.27;15.33;0.7106;0.6915;0.5774
7.5Y;7;4;71.6;-5.59;29.76;0.7292;0.6937;0.4725
7.5Y;7;6;71.6;-7.2;43.95;0.7446;0.6949;0.3644
7.5Y;7;8;71.6;-8.38;58.31;0.7568;0.6957;0.2407
10Y;7;2;71.6;-4.64;15.24;0.7001;0.6947;0.5779
10Y;7;4;71.6;-8.19;29.57;0.7102;0.6996;0.4733
10Y;7;6;71.6;-10.86;43.56;0.7188;0.7031;0.3665
10Y;7;8;71.6;-13.09;58.28;0.7252;0.706;0.2387
2.5GY;7;2;71.6;-6.18;14.63;0.687;0.6982;0.5819
2.5GY;7;4;71.6;-11.34;28.15;0.684;0.7067;0.4832
2.5GY;7;6;71.6;-15.54;41.26;0.6814;0.7133;0.3833
2.5GY;7;8;71.6;-19.34;55.55;0.6778;0.7193;0.2619
2.5GY;7;10;71.6;-22.72;71.15;0.6731;0.7245;0.0435
5GY;7;2;71.6;-7.48;13.71;0.6743;0.7014;0.5882
5GY;7;4;71.6;-13.99;25.95;0.6586;0.7128;0.4988
5GY;7;6;71.6;-19.64;37.92;0.6437;0.7223;0.4082
5GY;7;8;71.6;-25.07;50.83;0.6277;0.7311;0.3021
5GY;7;10;71.6;-30.24;65.13;0.6102;0.7392;0.1514
7.5GY;7;2;71.6;-9.54;11.19;0.65;0.7065;0.6059
7.5GY;7;4;71.6;-17.6;21.2;0.6166;0.7212;0.5327
7.5GY;7;6;71.6;-25.07;31.24;0.5838;0.7339;0.4575
7.5GY;7;8;71.6;-32.59;41.79;0.5472;0.7461;0.3748
7.5GY;7;10;71.6;-40.15;53.18;0.5062;0.7577;0.2761
7.5GY;7;12;71.6;-47.05;64.79;0.4646;0.7677;0.1444
10GY;7;2;71.6;-10.74;8.87;0.6325;0.7097;0.6223
10GY;7;4;71.6;-19.97;17.02;0.5831;0.7268;0.5625
10GY;7;6;71.6;-28.49;24.75;0.5336;0.7415;0.5049
10GY;7;8;71.6;-37.52;32.98;0.4748;0.756;0.442
10GY;7;10;71.6;-46.58;41.24;0.4057;0.7696;0.3757
10GY;7;12;71.6;-55.72;49.76;0.3195;0.7824;0.3021
10GY;7;14;71.6;-64.54;58.23;0.1987;0.7939;0.2171
2.5G;7;2;71.6;-11.53;6.37;0.6167;0.712;0.64
2.5G;7;4;71.6;-21.58;11.88;0.5491;0.7312;0.5992
2.5G;7;6;71.6;-31.06;17.01;0.4778;0.7477;0.5608
2.5G;7;8;71.6;-41.16;22.41;0.3876;0.764;0.52
2.5G;7;10;71.6;-51.43;27.62;0.2633;0.7792;0.4797
5G;7;2;71.6;-11.69;4.43;0.6079;0.7129;0.6537
5G;7;4;71.6;-22.05;8.09;0.5287;0.733;0.6262
5G;7;6;71.6;-31.77;11.3;0.4422;0.7502;0.6019
5G;7;8;71.6;-41.84;14.36;0.3276;0.7667;0.5785
5G;7;10;71.6;-52.55;17.16;0.0964;0.7828;0.5567
7.5G;7;2;71.6;-11.66;3.12;0.6027;0.7132;0.6631
7.5G;7;4;71.6;-21.98;5.62;0.518;0.7334;0.6439
7.5G;7;6;71.6;-31.7;7.75;0.4228;0.7509;0.6274
7.5G;7;8;71.6;-41.72;9.69;0.2909;0.7675;0.6122
10G;7;2;71.6;-11.47;1.75;0.5989;0.7131;0.6729
10G;7;4;71.6;-21.65;3.17;0.5094;0.7334;0.6614
10G;7;6;71.6;-31.41;4.36;0.4049;0.7513;0.6517
10G;7;8;71.6;-41.42;5.33;0.2525;0.7681;0.6435
2.5BG;7;2;71.6;-11.15;0.71;0.5971;0.7128;0.6803
