h;V;C;L*;a*;b*;R;G;B
10R;2;8;20.56;33.64;22.38;0.3857;0.0734;0.072
2.5YR;2;2;20.56;8.34;7.04;0.2562;0.1747;0.1547
2.5YR;2;4;20.56;16.02;14.46;0.3029;0.1529;0.1136
2.5YR;2;6;20.56;22.94;22.38;0.3402;0.1281;0.0684
5YR;2;2;20.56;6.94;8.59;0.2516;0.1776;0.1457
5YR;2;4;20.56;13.29;18.19;0.2941;0.16;0.0908
5YR;2;6;20.56;19.07;28.58;0.3278;0.1409;0.0038
7.5YR;2;2;20.56;5.36;10;0.2455;0.181;0.1372
7.5YR;2;4;20.56;10.18;21.46;0.2824;0.1678;0.0695
10YR;2;2;20.56;3.57;11.07;0.2383;0.1844;0.1309
10YR;2;4;20.56;7.26;23.96;0.2707;0.1746;0.0499
2.5Y;2;2;20.56;1.58;11.92;0.2288;0.1885;0.1258
2.5Y;2;4;20.56;3.74;26.21;0.2563;0.182;0.0267
5Y;2;2;20.56;-0.11;12;0.2199;0.1918;0.1247
5Y;2;4;20.56;0.74;27.53;0.2422;0.1883;0.0075
7.5Y;2;2;20.56;-1.67;11.57;0.2101;0.1949;0.1271
7.5Y;2;4;20.56;-2.73;27.79;0.2257;0.1947;-0.0014
10Y;2;2;20.56;-3.08;10.73;0.2008;0.1975;0.1317
10Y;2;4;20.56;-5.99;26.6;0.2073;0.2006;0.016
2.5GY;2;2;20.56;-4.52;9.37;0.1897;0.2002;0.1396
2.5GY;2;4;20.56;-9.4;23.57;0.1843;0.2065;0.0472
5GY;2;2;20.56;-5.44;7.99;0.1812;0.202;0.1475
5GY;2;4;20.56;-12.16;19.82;0.1612;0.2112;0.0738
7.5GY;2;2;20.56;-6.36;6.04;0.17;0.204;0.1584
7.5GY;2;4;20.56;-14.82;15.24;0.1332;0.2155;0.1028
7.5GY;2;6;20.56;-23.48;25.02;0.0827;0.2254;0.0283
10GY;2;2;20.56;-6.92;4.69;0.1622;0.2052;0.1661
10GY;2;4;20.56;-16.51;11.23;0.1081;0.2183;0.1266
10GY;2;6;20.56;-25.88;17.75;0.0134;0.2289;0.0848
2.5G;2;2;20.56;-7.49;3.39;0.1546;0.2062;0.1738
2.5G;2;4;20.56;-17.37;7.47;0.0831;0.22;0.149
5G;2;2;20.56;-7.67;2.39;0.1498;0.2067;0.1794
5G;2;4;20.56;-17.59;5.15;0.066;0.2208;0.1623
7.5G;2;2;20.56;-7.67;1.54;0.1459;0.2071;0.1842
7.5G;2;4;20.56;-17.81;3.13;0.0495;0.2213;0.174
10G;2;2;20.56;-7.67;0.6;0.1424;0.2073;0.1897
10G;2;4;20.56;-17.81;1.07;0.0282;0.2216;0.1861
2.5BG;2;2;20.56;-7.67;-0.54;0.1384;0.2074;0.1961
2.5BG;2;4;20.56;-17.16;-1.48;-0.0009;0.2215;0.2006
5BG;2;2;20.56;-7.3;-2.02;0.1339;0.2074;0.2047
7.5BG;2;2;20.56;-7.11;-3.22;0.1316;0.2071;0.2115
10BG;2;2;20.56;-6.36;-4.53;0.1302;0.2065;0.2191
2.5B;2;2;20.56;-5.81;-5.61;0.1306;0.2057;0.2251
5B;2;2;20.56;-5.07;-6.55;0.1324;0.2046;0.2307
7.5B;2;2;20.56;-3.98;-7.61;0.1362;0.2031;0.2369
7.5B;2;4;20.56;-6.73;-15.74;0.0173;0.2104;0.2834
10B;2;2;20.56;-2.38;-8.55;0.1452;0.2005;0.2424
10B;2;4;20.56;-3.98;-16.96;0.0605;0.2062;0.2906
2.5PB;2;2;20.56;-0.63;-9.07;0.156;0.1977;0.2455
2.5PB;2;4;20.56;-0.63;-17.73;0.0995;0.2007;0.2953
5PB;2;2;20.56;1.25;-9.55;0.1686;0.1941;0.2485
5PB;2;4;20.56;2.75;-18.21;0.132;0.1945;0.2983
5PB;2;6;20.56;4.71;-27.04;0.0665;0.1944;0.35
7.5PB;2;2;20.56;3.57;-9.8;0.1844;0.1896;0.25
7.5PB;2;4;20.56;7.41;-18.21;0.173;0.1846;0.2986
7.5PB;2;6;20.56;11.97;-26.28;0.1609;0.1779;0.346
7.5PB;2;8;20.56;17.28;-34.27;0.1475;0.169;0.3935
7.5PB;2;10;20.56;23.84;-41.91;0.1415;0.1556;0.4395
7.5PB;2;12;20.56;30.09;-48.14;0.1436;0.1396;0.4777
7.5PB;2;14;20.56;36.96;-54.32;0.1501;0.1177;0.516
7.5PB;2;16;20.56;44.21;-60.32;0.1617;0.086;0.5536
7.5PB;2;18;20.56;51.57;-66.2;0.1741;0.0325;0.5907
10PB;2;2;20.56;5.68;-9.55;0.1996;0.1851;0.2487
10PB;2;4;20.56;11.08;-17.03;0.2049;0.1757;0.2922
10PB;2;6;20.56;16.72;-23.99;0.2109;0.1646;0.3328
10PB;2;8;20.56;23.07;-31.37;0.2177;0.1497;0.3765
10PB;2;10;20.56;29.97;-37.99;0.2289;0.1299;0.4164
10PB;2;12;20.56;36.28;-43.59;0.241;0.1064;0.4504
10PB;2;14;20.56;43.37;-49.42;0.2551;0.0702;0.4863
2.5P;2;2;20.56;7.1;-8.85;0.2108;0.1818;0.2449
2.5P;2;4;20.56;13.15;-15.45;0.2254;0.1696;0.2831
2.5P;2;6;20.56;19.2;-21.21;0.2403;0.1557;0.3169
2.5P;2;8;20.56;26.77;-27.87;0.2597;0.134;0.3563
2.5P;2;10;20.56;33.88;-33.72;0.2775;0.108;0.3912
2.5P;2;12;20.56;41.14;-39.35;0.2965;0.0696;0.4253
5P;2;2;20.56;8.19;-7.92;0.2207;0.179;0.2398
5P;2;4;20.56;14.88;-13.76;0.2416;0.1645;0.2736
5P;2;6;20.56;21.09;-18.82;0.2607;0.1484;0.3034
5P;2;8;20.56;29.24;-25.05;0.2854;0.1219;0.3399
5P;2;10;20.56;36.51;-30.29;0.3071;0.0897;0.3712
5P;2;12;20.56;44;-35.57;0.3292;0.0334;0.403
7.5P;2;2;20.56;9.11;-6.97;0.2287;0.1767;0.2343
7.5P;2;4;20.56;16.16;-12.03;0.254;0.1604;0.2639
7.5P;2;6;20.56;22.67;-16.67;0.2769;0.1418;0.2911
7.5P;2;8;20.56;31.17;-22.28;0.305;0.1113;0.3241
7.5P;2;10;20.56;38.85;-27.26;0.3302;0.07;0.3537
10P;2;2;20.56;9.72;-5.84;0.2359;0.1747;0.2281
10P;2;4;20.56;17;-10.14;0.2645;0.157;0.2533
10P;2;6;20.56;24.1;-14.33;0.2912;0.1355;0.2779
10P;2;8;20.56;32.71;-19.39;0.3222;0.1007;0.3076
10P;2;10;20.56;40.49;-23.72;0.3494;0.0505;0.3333
2.5RP;2;2;20.56;10.48;-4.29;0.2442;0.1724;0.2194
