SERIE,FECHA,X,Y,HOJA_IGM,UBICACION,PERFIL_NRO,GRAN_GRUPO SUBGRUPO
Las Armas,01/12/1974,-57.46861111,-36.63500000,3757-9-3 Gral. Conesa,18 Km. al S de la localidad Gral. Conesa (Ea. La Juanita),16/384-C,Hapludol Thapto natrico
Las Gamas,01/01/1900,-60.94305556,-33.75000000,3360-32-1 Estancia Las Gamas,12 Km. al SSW de la localidad de PearSon (Ea. Las Gamas),9/743-C,Argialbol Tipico
Las Heras,01/01/1900,-58.93805556,-34.64416667,3560-12-3 Moreno,4 Km. al SE de la localidad de Gral. Rodriguez,1/543-C,Natracualf Tipico
Las Hermanas,01/01/1900,-60.80000000,-37.46666667,3760-26-1 Estancia La Tigra,"10.3 Km. al N de la localidad de Laprida, Ea. La Gloria",94-C,Natrudol Petrocalcico
Las Margaritas,01/01/1900,-60.86666667,-37.53333333,3760-26-3 Laprida,6.3 Km. al NW de la localidad de Laprida,9-C,Natracualf Litico
Las Marinas,01/01/1900,-63.08333333,-34.26666667,3563-10 Canada Seca,21.5 Km. al ESE de la localidad de Merlo,?,Argialbol Tipico
Las Martinetas,01/01/1900,-61.09083333,-37.18333333,3760-19-4 Las Martinetas,16.4 Km. al ENE de la localidad de Gral. Lamadrid,23/809-C,Hapludol Entico
Las Nutrias,18/11/1966,-60.86111111,-34.35777778,3560-8-1 Rafael Obligado,7 Km. al  W de la Estacion Rafael Obligado,12/793-C,Natracuol Tipico
Las Parvas,01/01/1900,-61.30694444,-34.31805556,3560-1-3 Gral. Arenales,2 Km. al Sur de la localidad General Arenales,8/736-C,Udortent Tipico
Lazzarino,01/01/1900,-62.05000000,-33.82111111,"Hoja 3363-36,Venado Tuerto",11.5 Km. al SW de La Ciudad de Venado Tuerto,,Hapludol Thapto natrico
Leguizamon,01/01/1900,-62.66666667,-33.70000000,"3363-34-2,Laguna Las Tunas",9 Km. al WSW Estancia Las Tunas,,Haplustol Udico
Lima,01/01/1900,-59.72916667,-34.21805556,3560-4-4 Duggan,10 Km. al W de Estacion Duggan,10/152-C,Argiacuol Vertico
Lincoln,01/01/1900,-61.42111111,-34.54388889,"3560-7-3, L.N.Alem",3 Km. al SW de la localidad de L.N. Alem,16/979-C,Hapludol Tipico
Loberia,01/01/1900,-58.66111111,-38.14388889,3960-6-2 El Moro,"8,5 Km. al SW de la Estacion El Moro",23/283-C,Argiudol Acuico
Lobos,01/01/1900,-59.48666667,-35.14472222,3560-23-1 Navarro,19.5 Km. al SW de Cruce Ruta Nacional  41 y 200,2/583-C,Hapludol Tapto argico
Los Indios,01/01/1900,-60.69305556,-34.36527778,3560-8-2 Ines Indart,3.5 Km. al Norte de la localidad de Los Indios,13/652-C,Natracuol Tipico
Los Leones,01/01/1900,-61.24444444,-33.66388889,3360-31-2 Wheelwright,17 Km. al SSW de la localidad de Alcorta,11/1414-C,Natracualf Molico
Los Mochos,22/10/1969,-58.44722222,-35.42222222,3557-19-3 Loma Verde,7.9 Km. al ENE de  Estacion Loma Verde,9/1433-C,Natracualf Tipico
Los Naranjos,01/01/1900,-57.76666667,-36.16166667,3757-2-1 Castelli,10 Km. al S de la localidad de Castelli,21/3237-C,Hapludol Tapto argico
Los Pinos,01/01/1900,-58.18722222,-37.89194444,3757-31-4 Sierra Del Volcan,16 Km. al SE de la localidad de Balcarce.,2/971-C,Argialbol Tipico
Luis Chico,01/01/1900,-57.20138889,-35.31500000,3557-21-4 Punta Indio,22 Km. al E.de la localidad de ??lvarez Jonte.,3/1273-C,Paleudol Acuico
Magdalena,01/01/1900,-57.59972222,-35.11333333,3557-20-2 Magdalena,20 Km. al W de la localidad de Magdalena,9/2310-C,Paleudol Acuico
Maipu,01/01/1900,-57.16305556,-37.05666667,3757-21-2 Est. Juancho,6.6 Km. al SW de la localidad de Gral. Madariaga (Ea. El Amanecer),8/2410-C,Hapludol Tapto argico
Maizales,01/01/1900,-60.97083333,-33.38611111,3360-26-1 Santa Teresa,7 Km. al S. de La Estacion Maizales,10/942-C,Argialbol Tipico
Mal Abrigo,01/01/1900,-56.96194444,-36.62138889,3757-10-3 Ea. El Tuyu,23 Km. al S de la localidad de Gral. Lavalle (Ea. Mal Abrigo),16/391-C,Natracuerts Tipico
Manantiales,01/01/1900,-60.66805556,-33.86388889,3360-33-1 Acevedo,15 Km. al ESE de la Estacion Acevedo,08/2-C,Natracualf Tipico
Mar Chiquita,01/01/1900,-61.09444444,-34.48777778,Hoja 3560-7-2 Fortin Tiburcio,4 Km. al SW de la Estacion Agustina F.C.G.S.M,12/1001-C,Argiudol Tipico
Mar Del Plata,01/01/1900,-57.91861111,-37.95444444,3757-32-3 Sierra De Los Padres,9.3 Km. al SSE del Paraje El Dorado,5/1005-C,Argiudol Tipico
Maria Teresa,01/01/1900,-61.66361111,-34.27972222,3563-6-4 Teodelina,13 Km. al SW de la localidad de Teodelina,?,Hapludol Tipico
Martin Colman,21/03/1972,-59.12083333,-36.44722222,3760-11-2 Martin Colman,4.5 Km. al SSE de la Estacion Martin Colman,13/1895-C,Argialbol Tipico
Mechongue,01/01/1900,-58.62916667,-38.30444444,3960-6-4 Tamangueyu,15 Km. al SE de la localidad de Tamangueyu,23/275-C,Natracuol Tipico
Melincue,01/01/1900,-61.34722222,-33.67777778,"Hoja 3360-31-1,Hughes",5 Km. al NNW de la localidad Labordeboy FCGBM,11/1146-C,Argialbol Argiacuico
Membrillar,01/01/1900,-61.47500000,-34.25000000,3560-1-3 General Arenales,12 Km. al WSW de la localidad de Arribenos,8/733-C,Hapludol Acuico
Mercedes,01/01/1900,-59.14972222,-34.57111111,3560-11-3 Mercedes,9.5 Km. al W de la localidad de Mercedes,2/200-C,Argiudol Tipico
Micaela Cascallares,01/01/1900,-60.45805556,-38.36250000,3960-9-1 Tres Arroyos,14.5 Km. al N de la localidad de Micaela Cascallares,25/1929-C,Argiudol Paquico
Minana,01/01/1900,-60.47222222,-36.67777778,3760-15-4 Sierra Chica,"4,5 Km. al W de Estancia Las Delicias",7/1412-C,Natracualf Tipico
Miranda,01/01/1900,-57.50277778,-36.83750000,3760-17 Rauch,33 Km. al W de la localidad de Rauch,13/2707-C,Hapludol Thapto natrico
Monsalvo,01/01/1900,-57.40527778,-37.11027778,3757-21-1 Gral. Madariaga,22 Km. al SW de la localidad de Gral. Madariaga (Ea. El Cardal),2415-C,Argiudol Acuico
